FID,the_geom,fid,country,name,gppd_idnr,capacity_m,latitude,longitude,primary_fu,other_fuel,other_fu_1,other_fu_2,commission,owner,source,url,geolocatio,wepp_id,year_of_ca,generation,generati_1,generati_2,generati_3,generati_4,generati_5,generati_6,generati_7,estimated_,estimate_1,estimate_2,estimate_3,estimate_4,estimate_5,estimate_6,estimate_7,estimate_8,estimate_9
global_power_plants_renewable.19723,POINT (-73.2439 40.7814),19723,United States of America,Brentwood Solar,USA0058785,1,40.7814,-73.2439,Solar,,,,2011,CD US Solar MT1 LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,1.0811,1.299,0.958,0.119,0.9,0.834,0.751,U.S. Energy Information Administration,1.59,1.59,1.62,1.45,1.48,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.19725,POINT (-70.1031 41.7456),19725,United States of America,Brewster Landfill,USA0059075,1,41.7456,-70.1031,Solar,,,,2014,CF CVEC Owner One LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67799,2019,0,0.284,1.528,1.58,1.56,1.263,1.503,U.S. Energy Information Administration,0,0,1.7,1.74,1.6,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.19726,POINT (-74.1545 40.1894),19726,United States of America,Brickyard Solar,USA0060733,1.5,40.1894,-74.1545,Solar,,,,2015,GSRP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,69131,2019,0,0,0,2.594,2.448,2.343,2.17,U.S. Energy Information Administration,0,0,0,2.45,2.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.19727,POINT (-75.3508 39.7875),19727,United States of America,Bridgeport Disposal Solar Farm,USA0059166,1.2,39.7875,-75.3508,Solar,,,,2011,Bridgeport Disposal LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,1.939,1.9137,1.931,1.958,1.852,1.729,1.847,U.S. Energy Information Administration,1.77,1.81,1.9,1.67,1.57,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.19730,POINT (-71.6585 43.7155),19730,United States of America,Bridgewater Power LP,USA0010290,20,43.7155,-71.6585,Waste,Oil,,,1987,Bridgewater Power Co LP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,14936,2019,126.293,122.9,123.618,123.194,121.464,78.012,81.646,U.S. Energy Information Administration,0,0,0,0,3.62,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.19731,POINT (-70.9719 41.9641),19731,United States of America,Bridgewater Solar CSG,USA0060730,2.3,41.9641,-70.9719,Solar,,,,2015,GSRP,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,3.76,4.054,3.508,4.361,U.S. Energy Information Administration,0,0,0,3.6,3.66,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.19739,POINT (-76.3807 40.6696),19739,United States of America,Broad Mountain,USA0056911,11,40.6696,-76.3807,Waste,,,,2009,UGI Development Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,62525,2019,59.823,44.57,50.343,57.836,59.103,59.423,36.25,U.S. Energy Information Administration,0,0,0,0,1.99,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.19740,POINT (-74.1549 43.0613),19740,United States of America,Broadalbin,USA0061847,2,43.0613,-74.1549,Solar,,,,2018,Onyx Asset Services Group,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0,2.468,3.208,U.S. Energy Information Administration,0,0,0,0,3.25,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.19741,POINT (-74.1918 43.018),19741,United States of America,Broadalbin-Perth Solar,USA0061958,1.5,43.018,-74.1918,Solar,,,,2018,AES Distributed Energy,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0,0.447,2.077,U.S. Energy Information Administration,0,0,0,0,2.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
global_power_plants_renewable.19749,POINT (-71.7169 42.4814),19749,United States of America,Brockelman,USA0059241,3,42.4814,-71.7169,Solar,,,,2013,Integrys MA Solar  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0.056,4.914,4.968,5.303,4.579,3.294,1.856,U.S. Energy Information Administration,0,3.77,4.41,4.58,4.17,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1,SOLAR-V1
global_power_plants_renewable.19754,POINT (-70.7861 41.9559),19754,United States of America,Brook Street Solar 1 CSG,USA0061008,5,41.9559,-70.7861,Solar,,,,2017,Brook Street Solar 1  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019,0,0,0,0,0.68,5.834,8.347,U.S. Energy Information Administration,0,0,0,0,8.14,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
